"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"Rs3,Rs2,Rs1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"100";;;
2;"Rm1";"ShuntRes";1;"0.02";;;
3;"Ru1,Ru2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10";;;
4;"J3";"Banana_Jack_2Pin";1;"OUTPUT";;;
5;"J2";"Banana_Jack_2Pin";1;"INPUT";;;
6;"U1";"DIP-8_W7.62mm_Socket";1;"TL072";;;
7;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
8;"ON";"Slide_Switch_SPDT_ThroughHole";1;"OFF";;;
9;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.9K";;;
10;"Cxa2,Cxa1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"0.1uF";;;
11;"C1";"CP_Elec_6.3x7.7";1;"100uF";;;
12;"R2B2,RB1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2K";;;
13;"SW2";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";1;"SW_DIP_x03";;;
14;"RB2,RP1,RP2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"100K";;;
15;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
16;"R2B1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"47K";;;
17;"TP1";"TP4056-Module";1;"TP4056";;;
18;"J1";"BatteryHolder_Keystone_1042_1x18650";1;"3.7V Battery";;;
19;"Rn1,Rn2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
20;"U2";"DIP-8_W7.62mm_Socket";1;"TLC2652ACP";;;
21;"D1";"SOT-23";1;"Bzx84c3v3";;;
22;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"75";;;
